codigo;ex;tabela;descricao;aliqNac;aliqImp;0.0.2
01064900;;0;--Outros;26.75;29.50;
01069000;;0;-Outros;26.75;29.50;
02011000;;0;-Carcaças e meias-carcaças;08.11;13.81;
02012010;;0;Quartos dianteiros;08.11;13.81;
02012020;;0;Quartos traseiros;08.11;13.81;
02012090;;0;Outras;08.11;13.81;
02013000;;0;-Desossadas;08.11;14.72;
02021000;;0;-Carcaças e meias-carcaças;08.11;13.81;
02022010;;0;Quartos dianteiros;08.11;13.81;
02022020;;0;Quartos traseiros;08.11;13.81;
02022090;;0;Outras;08.11;13.81;
02023000;;0;-Desossadas;08.11;14.72;
02031100;;0;--Carcaças e meias-carcaças;08.11;13.81;
02031200;;0;--Pernas, pás e respectivos pedaços, não desossados;08.11;13.81;
02031900;;0;--Outras;08.11;13.81;
02032100;;0;--Carcaças e meias-carcaças;08.11;13.81;
02032200;;0;--Pernas, pás e respectivos pedaços, não desossados;08.11;13.81;
02032900;;0;--Outras;08.11;13.81;
02041000;;0;-Carcaças e meias-carcaças de cordeiro, frescas ou refrigeradas;08.11;13.81;
02042100;;0;--Carcaças e meias-carcaças;08.11;13.81;
02042200;;0;--Outras peças não desossadas;08.11;13.81;
02042300;;0;--Desossadas;08.11;13.81;
02043000;;0;-Carcaças e meias-carcaças de cordeiro, congeladas;08.11;13.81;
02044100;;0;--Carcaças e meias-carcaças;08.11;13.81;
02044200;;0;--Outras peças não desossadas;08.11;13.81;
02044300;;0;--Desossadas;08.11;13.81;
02045000;;0;-Carnes de animais da espécie caprina;08.11;13.81;
02050000;;0;Carnes de animais das espécies cavalar, asinina e muar, frescas, refrigeradas ou congeladas.;19.45;25.15;
02061000;;0;-Da espécie bovina, frescas ou refrigeradas;06.80;12.50;
02062100;;0;--Línguas;06.80;12.50;
02062200;;0;--Fígados;06.80;12.50;
02062910;;0;Rabos;06.80;12.50;
02062990;;0;Outros;06.80;12.50;
02063000;;0;-Da espécie suína, frescas ou refrigeradas;08.11;13.81;
02064100;;0;--Fígados;08.11;13.81;
02064900;;0;--Outras;08.11;13.81;
02068000;;0;-Outras, frescas ou refrigeradas;08.11;13.81;
02069000;;0;-Outras, congeladas;19.45;25.15;
02071100;;0;--Não cortadas em pedaços, frescas ou refrigeradas;06.80;12.50;
02071200;;0;--Não cortadas em pedaços, congeladas;06.80;12.50;
02071300;;0;--Pedaços e miudezas, frescos ou refrigerados;06.80;12.50;
02071400;;0;--Pedaços e miudezas, congelados;06.80;12.50;
02072400;;0;--Não cortadas em pedaços, frescas ou refrigeradas;06.80;12.50;
02072500;;0;--Não cortadas em pedaços, congeladas;06.80;12.50;
02072600;;0;--Pedaços e miudezas, frescos ou refrigerados;06.80;12.50;
02072700;;0;--Pedaços e miudezas, congelados;06.80;12.50;
02074100;;0;--Não cortadas em pedaços, frescas ou refrigeradas;06.80;12.50;
02074200;;0;--Não cortadas em pedaços, congeladas;06.80;12.50;
02074300;;0;--Fígados gordos (foies gras), frescos ou refrigerados;06.80;12.50;
02074400;;0;--Outras, frescas ou refrigeradas;06.80;12.50;
02074500;;0;--Outras, congeladas;06.80;12.50;
02075100;;0;--Não cortadas em pedaços, frescas ou refrigeradas;06.80;12.50;
02075200;;0;--Não cortadas em pedaços, congeladas;06.80;12.50;
02075300;;0;--Fígados gordos (foies gras), frescos ou refrigerados;06.80;12.50;
02075400;;0;--Outras, frescas ou refrigeradas;06.80;12.50;
02075500;;0;--Outras, congeladas;06.80;12.50;
02076000;;0;-De galinhas-d'angola (pintadas);06.80;12.50;
02081000;;0;-De coelhos ou de lebres;18.14;23.84;
02083000;;0;-De primatas;27.45;33.15;
02084000;;0;"-De baleias, golfinhos e botos (mamíferos da ordem dos cetáceos); de peixes-boi (manatins) e dugongos (mamíferos da ordem dos sirênios); de otárias e focas, leões-marinhos e morsas (mamíferos da subordem dos pinípedes)";27.45;33.15;
02085000;;0;-De répteis (incluindo as serpentes e as tartarugas marinhas);27.45;33.15;
02086000;;0;-De camelos e de outros camelídeos (Camelidae);27.45;33.15;
02089000;;0;-Outras;27.45;33.15;
02091011;;0;Fresco, refrigerado ou congelado;16.11;19.88;
02091019;;0;Outros;16.11;19.88;
02091021;;0;Fresca, refrigerada ou congelada;16.11;19.88;
02091029;;0;Outras;16.11;19.88;
02099000;;0;-Outros;16.11;19.88;
02101100;;0;--Pernas, pás e respectivos pedaços, não desossados;16.11;21.81;
02101200;;0;--Toucinhos entremeados e seus pedaços;16.11;21.81;
02101900;;0;--Outras;16.11;21.81;
02102000;;0;-Carnes da espécie bovina;16.11;21.81;
02109100;;0;--De primatas;27.45;33.15;
02109100;01;0;"Ex 01 - Miudezas; farinhas e pós dessas miudezas";31.45;37.15;
02109200;;0;"--De baleias, golfinhos e botos (mamíferos da ordem dos cetáceos); de peixes-boi (manatins) e dugongos (mamíferos da ordem dos sirênios); de otárias e focas, leões-marinhos e morsas (mamíferos da subordem dos pinípedes)";31.45;37.15;
02109200;01;0;"Ex 01 - Miudezas; farinhas e pós dessas miudezas";31.45;37.15;
02109300;;0;--De répteis (incluindo as serpentes e as tartarugas marinhas);31.45;37.15;
02109300;01;0;"Ex 01 - Miudezas; farinhas e pós dessas miudezas";31.45;37.15;
02109900;;0;--Outras;20.11;25.81;
02109900;01;0;"Ex  01 - Miudezas, exceto fígados de aves da posição 01.05; farinhas e pós dessas miudezas";20.11;25.81;
02109900;02;0;Ex 02 - Fígados de aves da posição 01.05, salgados ou em salmora;20.11;25.81;
03011110;;0;Aruanã (Osteoglossum bicirrhosum);31.45;37.15;
03011190;;0;Outros;31.45;37.15;
03011900;;0;--Outros;31.45;37.15;
03019110;;0;Para reprodução;31.45;32.05;
03019190;;0;Outras;31.45;37.15;
03019210;;0;Para reprodução;31.45;32.05;
03019290;;0;Outras;31.45;37.15;
03019310;;0;Para reprodução;31.45;32.05;
03019390;;0;Outras;31.45;37.15;
03019410;;0;Para reprodução;31.45;32.05;
03019490;;0;Outras;31.45;37.15;
03019510;;0;Para reprodução;31.45;32.05;
03019590;;0;Outros;31.45;37.15;
03019911;;0;"Tilápias (Tilapia spp., Oreochromis spp., Sarotherodon spp., Danakilia spp.; seus híbridos)";31.45;32.05;
03019912;;0;Esturjões (Acipenser baeri, Acipenser gueldenstaedtii, Acipenser persicus, Acipenser stellatus);31.45;32.05;
03019919;;0;Outros;31.45;32.05;
03019991;;0;"Tilápias (Tilapia spp., Oreochromis spp., Sarotherodon spp., Danakilia spp.; seus híbridos)";31.45;37.15;
03019992;;0;Esturjões (Acipenser baeri, Acipenser gueldenstaedtii, Acipenser persicus, Acipenser stellatus);31.45;37.15;
03019999;;0;Outros;31.45;37.15;
03021100;;0;--Trutas (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache e Oncorhynchus chrysogaster);20.11;25.81;
03021300;;0;--Salmões-do-pacífico (Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou e Oncorhynchus rhodurus);20.11;25.81;
03021400;;0;--Salmão-do-atlântico (Salmo salar) e salmão-do-danúbio (Hucho hucho);20.11;25.81;
03021900;;0;--Outros;20.11;25.81;
03022100;;0;--Linguados-gigantes (Reinhardtius hippoglossoides, Hippoglossus hippoglossus, Hippoglossus stenolepis);20.11;25.81;
03022200;;0;--Solha (Pleuronectes platessa);20.11;25.81;
03022300;;0;--Linguados (Solea spp.);20.11;25.81;
03022400;;0;--Pregado (Psetta maxima);20.11;25.81;
03022900;;0;--Outros;20.11;25.81;
03023100;;0;--Albacora-branca (Thunnus alalunga);20.11;25.81;
03023200;;0;--Albacora-laje (Thunnus albacares);20.11;25.81;
03023300;;0;--Bonito-listrado;20.11;25.81;
03023400;;0;--Albacora-bandolim (Thunnus obesus);20.11;25.81;
03023500;;0;--Atuns azuis (Thunnus thynnus, Thunnus orientalis);20.11;25.81;
03023600;;0;--Atum azul do Sul (Thunnus maccoyii);20.11;25.81;
03023900;;0;--Outros;20.11;25.81;
03024100;;0;--Arenques (Clupea harengus, Clupea pallasii);20.11;25.81;
03024210;;0;Anchoita (Engraulis anchoita);20.11;25.81;
03024290;;0;Outros;20.11;25.81;
03024300;;0;--Sardinhas (Sardina pilchardus, Sardinops spp., Sardinella spp.), anchoveta (Sprattus sprattus);20.11;25.81;
03024400;;0;--Cavalinhas (Scomber scombrus, Scomber australasicus, Scomber japonicus);20.11;25.81;
03024500;;0;--Chicharros (Trachurus spp.);20.11;25.81;
03024600;;0;--Bijupirá (Rachycentron canadum);20.11;25.81;
03024700;;0;--Espadarte (Xiphias gladius);20.11;25.81;
03025100;;0;--Bacalhau-do-atlântico (Gadus mohrua), bacalhau-da-groelândia (Gadus ogac) e bacalhau-do-pacífico (Gadus macrocephalus);20.11;20.71;
03025200;;0;--Haddock ou lubina (Melanogrammus aeglefinus);20.11;25.81;
03025300;;0;--Saithe (Pollachius virens);20.11;25.81;
03025400;;0;--Merluzas e abróteas (Merluccius spp., Urophycis spp.);20.11;25.81;
03025500;;0;--Merluza-do-alasca (Theragra chalcogramma);20.11;25.81;
03025600;;0;--Verdinhos (Micromesistius poutassou, Micromesistius australis);20.11;25.81;
03025900;;0;--Outros;20.11;25.81;
03027100;;0;--Tilápias (Oreochromis spp.);20.11;25.81;
03027210;;0;Bagre (Ictalurus puntactus);20.11;25.81;
03027290;;0;Outros;20.11;25.81;
03027300;;0;--Carpas (Cyprinus carpio, Carassius carassius, Ctenopharyngodon idellus, Hypophtalmichtys spp., Mylopharyngodon piceus);20.11;25.81;
03027400;;0;--Enguias (Anguilla spp.);20.11;25.81;
03027900;;0;--Outros;20.11;25.81;
03028100;;0;--Cação e outros tubarões;20.11;25.81;
03028200;;0;--Raias (Rajidae);20.11;25.81;
03028310;;0;Merluza negra (Dissostichus eleginoides);20.11;25.81;
03028320;;0;Merluza antártica (Dissostichus mawsoni);20.11;25.81;
03028400;;0;--Robalos (Dicentrarchus spp.);20.11;25.81;
03028500;;0;--Pargos ou sargos (Sparidae);20.11;25.81;
03028911;;0;Agulhões (Istiophorus spp., Tetrapturus spp., Makaira spp.);20.11;25.81;
03028912;;0;Pargo (Lutjanus purpureus);20.11;25.81;
03028921;;0;Cherne-poveiro (Polyprion americanus);20.11;25.81;
03028922;;0;Garoupas (Acanthistius spp.);20.11;25.81;
03028923;;0;Esturjão (Acipenser baeri);20.11;25.81;
03028924;;0;Peixes-rei (Atherina spp.);20.11;25.81;
03028931;;0;Curimatãs (Prochilodus spp.);20.11;25.81;
03028932;;0;"Tilápias (Tilapia spp., Sarotherodon spp., Danakilia spp.; seus híbridos)";20.11;25.81;
03028933;;0;Surubins (Pseudoplatystoma spp.);20.11;25.81;
03028934;;0;Traíra (Hoplias malabaricus & H. cf. lacerdae);20.11;25.81;
03028935;;0;Piaus (Leporinus spp.);20.11;25.81;
03028936;;0;Tainhas (Mugil spp.);20.11;25.81;
03028937;;0;Pirarucu (Arapaima gigas);20.11;25.81;
03028938;;0;Pescadas (Cynocion spp.);20.11;25.81;
03028941;;0;Piramutaba (Brachyplatystoma vaillantii);20.11;25.81;
03028942;;0;Dourada (Brachyplatystoma flavicans);20.11;25.81;
03028943;;0;Pacu (Piaractus mesopotamicus);20.11;25.81;
03028944;;0;Tambaqui (Colossoma macropomum);20.11;25.81;
03028945;;0;Tambacu (híbrido de tambaqui e pacu);20.11;25.81;
03028990;;0;Outros;20.11;25.81;
03029000;;0;-Fígados, ovas e sêmen;30.75;36.45;
03031100;;0;--Salmão (Oncorhynchus nerka);20.11;25.81;
03031200;;0;--Outros salmões-do-pacífico (Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou e Oncorhynchus rhodurus);20.11;25.81;
03031300;;0;--Salmão-do-atlântico (Salmo salar) e salmão-do-danúbio (Hucho hucho);20.11;25.81;
03031400;;0;--Trutas (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache e Oncorhynchus chrysogaster);20.11;25.81;
03031900;;0;--Outros;20.11;25.81;
03032300;;0;--Tilápias (Oreochromis spp.);20.11;25.81;
03032410;;0;Bagre (Ictalurus puntactus);20.11;25.81;
03032490;;0;Outros;20.11;25.81;
03032500;;0;--Carpas (Cyprinus carpio, Carassius carassius, Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus);20.11;25.81;
03032600;;0;--Enguias (Anguilla spp.);20.11;25.81;
03032900;;0;--Outros;20.11;25.81;
03033100;;0;--Linguados-gigantes (Reinhardtius hippoglossoides, Hippoglossus hippoglossus, Hippoglossus stenolepis);20.11;25.81;
03033200;;0;--Solha (Pleuronectes platessa);20.11;25.81;
03033300;;0;--Linguados (Solea spp.);20.11;25.81;
03033400;;0;--Pregado (Psetta maxima);20.11;25.81;
03033900;;0;--Outros;20.11;25.81;
03034100;;0;--Albacora-branca (Thunnus alalunga);20.11;25.81;
03034200;;0;--Albacora-laje (Thunnus albacares);20.11;25.81;
03034300;;0;--Bonito-listrado;20.11;25.81;
03034400;;0;--Albacora-bandolim (Thunnus obesus);20.11;25.81;
03034500;;0;--Atuns azuis (Thunnus thynnus, Thunnus orientalis);20.11;25.81;
03034600;;0;--Atum azul do Sul (Thunnus maccoyii);20.11;25.81;
03034900;;0;--Outros;20.11;25.81;
03035100;;0;--Arenques (Clupea harengus, Clupea pallasii);20.11;25.81;
03035300;;0;--Sardinhas (Sardina pilchardus, Sardinops spp., Sardinella spp.), anchoveta (Sprattus sprattus);20.11;25.81;
03035400;;0;--Cavalinhas (Scomber scombrus, Scomber australasicus, Scomber japonicus);20.11;25.81;
03035500;;0;--Chicharros (Trachurus spp.);20.11;25.81;
03035600;;0;--Bijupirá (Rachycentron canadum);20.11;25.81;
03035700;;0;--Espadarte (Xiphias gladius);20.11;25.81;
03036300;;0;--Bacalhau-do-atlântico (Gadus mohrua), bacalhau-da-groelândia (Gadus ogac) e bacalhau-do-pacífico (Gadus macrocephalus);20.11;20.71;
03036400;;0;--Haddock ou lubina (Melanogrammus aeglefinus);20.11;25.81;
03036500;;0;--Saithe (Pollachius virens);20.11;25.81;
03036600;;0;--Merluzas e abróteas (Merluccius spp., Urophycis spp.);20.11;25.81;
03036700;;0;--Merluza-do-alasca (Theragra chalcogramma);20.11;25.81;
03036800;;0;--Verdinhos (Micromesistius poutassou, Micromesistius australis);20.11;25.81;
03036910;;0;Merluza rosada (Macruronus magellanicus);20.11;25.81;
03036990;;0;Outros;20.11;25.81;
03038111;;0;Inteiro;20.11;25.81;
03038112;;0;Eviscerado, sem cabeça e sem barbatanas;20.11;25.81;
03038113;;0;Em pedaços, com pele;20.11;25.81;
03038114;;0;Em pedaços, sem pele;20.11;25.81;
03038119;;0;Outros;20.11;25.81;
03038190;;0;Outros;20.11;25.81;
03038200;;0;--Raias (Rajidae);20.11;25.81;
03038311;;0;Evisceradas, sem cabeça e sem cauda;20.11;25.81;
03038312;;0;Cabeças;20.11;25.81;
03038319;;0;Outras;20.11;25.81;
03038321;;0;Evisceradas, sem cabeça e sem cauda;20.11;25.81;
03038322;;0;Cabeças;20.11;25.81;
03038329;;0;Outras;20.11;25.81;
03038400;;0;--Robalos (Dicentrarchus spp.);20.11;25.81;
03038910;;0;Corvina (Micropogonias furnieri);20.11;25.81;
03038920;;0;Pescadas (Cynoscion spp.);20.11;25.81;
03038931;;0;Agulhões (Istiophorus spp., Tetrapturus spp., Makaira spp.);20.11;25.81;
03038932;;0;Pargo (Lutjanus purpureus);20.11;25.81;
03038933;;0;Peixe-sapo (Lophius gastrophysus);20.11;25.81;
03038941;;0;Cherne-poveiro (Polyprion americanus);20.11;25.81;
03038942;;0;Garoupas (Acanthistius spp.);20.11;25.81;
03038943;;0;Tainhas (Mujil spp.);20.11;25.81;
03038944;;0;Esturjões (Acipenser baeri, Acipenser gueldenstaedtii, Acipenser persicus, Acipenser stellatus);20.11;25.81;
03038945;;0;Peixes-rei (Atherina spp.);20.11;25.81;
03038946;;0;Nototenias (Patagonotothen spp.);20.11;25.81;
03038951;;0;Curimatãs (Prochilodus spp.);20.11;25.81;
03038952;;0;"Tilápias (Tilapia spp., Sarotherodon spp., Danakilia spp.; seus híbridos)";20.11;25.81;
03038953;;0;Surubins (Pseudoplatystoma spp.);20.11;25.81;
03038954;;0;Traíra (Hoplias malabaricus & H. cf. lacerdae);20.11;25.81;
03038955;;0;Piaus (Leporinus spp.);20.11;25.81;
03038956;;0;Pirarucu (Arapaima gigas);20.11;25.81;
03038957;;0;Anchoita (Engraulis anchoita);20.11;25.81;
03038961;;0;Piramutaba (Brachyplatystoma vaillantii);20.11;25.81;
03038962;;0;Dourada (Brachyplatystoma flavicans);20.11;25.81;
03038963;;0;Pacu (Piaractus Mesopotamicus);20.11;25.81;
03038964;;0;Tambaqui (Colossoma macropomum);20.11;25.81;
03038965;;0;Tambacu (híbrido de tambaqui e pacu);20.11;25.81;
03038990;;0;Outros;20.11;25.81;
03039000;;0;-Fígados, ovas e sêmen;20.11;25.81;
03043100;;0;--Tilápias (Oreochromis spp.);20.11;25.81;
03043210;;0;Bagre (Ictalurus puntactus);20.11;25.81;
03043290;;0;Outros;20.11;25.81;
03043300;;0;--Perca-do-nilo (Lates niloticus);20.11;25.81;
03043900;;0;--Outros;20.11;25.81;
03044100;;0;--Salmões-do-pacífico (Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou e Oncorhynchus rhodurus), salmão-do-atlântico (Salmo salar) e salmão-do-danúbio (Hucho hucho);20.11;25.81;
03044200;;0;--Trutas (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache e Oncorhynchus chrysogaster);20.11;25.81;
03044300;;0;--Peixes chatos (Pleuronectidae, Bothidae, Cynoglossidae, Soleidae, Scophthalmidae e Citharidae);20.11;25.81;
03044400;;0;--Peixes das famílias Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae e Muraenolepididae;20.11;25.81;
03044500;;0;--Espadarte (Xiphias gladius);20.11;25.81;
03044600;;0;--Merluza negra e merluza antártica (Dissostichus spp.);20.11;25.81;
03044910;;0;Cherne-poveiro (Polyprion americanus);20.11;25.81;
03044920;;0;Garoupas (Acanthistius spp.);20.11;25.81;
03044990;;0;Outros;20.11;25.81;
03045100;;0;--Tilápias (Oreochromis spp.), bagres (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.), carpas (Cyprinus carpio, Carassius carassius, Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus), enguias (Anguilla;20.11;25.81;
03045200;;0;--Salmonídeos;20.11;25.81;
03045300;;0;--Peixes das famílias Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae e Muraenolepididae;20.11;25.81;
03045400;;0;--Espadarte (Xiphias gladius);20.11;25.81;
03045500;;0;--Merluza negra e merluza antártica (Dissostichus spp.);20.11;25.81;
03045900;;0;--Outros;20.11;25.81;
03046100;;0;--Tilápias (Oreochromis spp.);20.11;25.81;
03046210;;0;Bagre (Ictalurus puntactus);20.11;25.81;
03046290;;0;Outros;20.11;25.81;
03046300;;0;--Perca-do-nilo (Lates niloticus);20.11;25.81;
03046900;;0;--Outros;20.11;25.81;
03047100;;0;--Bacalhau-do-atlântico (Gadus mohrua), bacalhau-da-groelândia (Gadus ogac) e bacalhau-do-pacífico (Gadus macrocephalus);20.11;25.81;
03047200;;0;--Haddock ou lubina (Melanogrammus aeglefinus);20.11;25.81;
03047300;;0;--Saithe (Pollachius virens);20.11;25.81;
03047400;;0;--Merluzas e abróteas (Merluccius spp., Urophycis spp.);20.11;25.81;
03047500;;0;--Merluza-do-alasca (Theragra chalcogramma);20.11;25.81;
03047900;;0;--Outros;20.11;25.81;
03048100;;0;--Salmões-do-pacífico (Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou e Oncorhynchus rhodurus), salmão-do-atlântico (Salmo salar) e salmão-do-danúbio (Hucho hucho);20.11;25.81;
03048200;;0;--Trutas (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache e Oncorhynchus chrysogaster);20.11;25.81;
03048300;;0;--Peixes chatos (Pleuronectidae, Bothidae, Cynoglossidae, Soleidae, Scophthalmidae e Citharidae);20.11;25.81;
03048400;;0;--Espadarte (Xiphias gladius);20.11;25.81;
03048510;;0;Merluza negra (Dissostichus eleginoides);20.11;25.81;
03048520;;0;Merluza antártica (Dissostichus mawsoni);20.11;25.81;
03048600;;0;--Arenques (Clupea harengus, Clupea pallasii);20.11;25.81;
03048700;;0;--Atuns (do gênero Thunnus), bonito-listrado (Euthynnus (Katsuwonus) pelamis);20.11;25.81;
03048910;;0;Pargo (Lutjanus purpureus);20.11;25.81;
03048920;;0;Cherne-poveiro (Polyprion americanus);20.11;25.81;
03048930;;0;Garoupas (Acanthistius spp.);20.11;25.81;
03048940;;0;Tubarão-azul (Prionace glauca);20.11;25.81;
03048990;;0;Outros;20.11;25.81;
03049100;;0;--Espadarte (Xiphias gladius);20.11;25.81;
03049211;;0;Bochechas (cheeks);20.11;25.81;
03049212;;0;Colares (collars);20.11;25.81;
03049219;;0;Outros;20.11;25.81;
03049221;;0;Bochechas (cheeks);20.11;25.81;
03049222;;0;Colares (collars);20.11;25.81;
03049229;;0;Outros;20.11;25.81;
03049300;;0;--Tilápias (Oreochromis spp.), bagres (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.), carpas (Cyprinus carpio, Carassius carassius, Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus), enguias (Anguilla;20.11;25.81;
03049400;;0;--Merluza-do-alasca (Theragra chalcogramma);20.11;25.81;
03049500;;0;--Peixes das famílias Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae e Muraenolepididae, exceto a merluza-do-alasca (Theragra chalcogramma);20.11;25.81;
03049900;;0;--Outros;20.11;25.81;
03051000;;0;-Farinhas, pós e pellets, de peixe, próprios para alimentação humana;31.45;37.15;
03052000;;0;-Fígados, ovas e sêmen, de peixes, secos, defumados, salgados ou em salmoura;30.75;36.45;
03053100;;0;--Tilápias (Oreochromis spp.), bagres (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.), carpas (Cyprinus carpio, Carassius carassius, Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus), enguias (Anguilla;31.45;37.15;
03053210;;0;Bacalhau-do-atlântico (Gadus mohrua), bacalhau-da-groelândia (Gadus ogac) e bacalhau-do-pacífico (Gadus macrocephalus);31.45;32.05;
03053220;;0;Saithe (Pollachius virens);31.45;37.15;
03053290;;0;Outros;31.45;37.15;
03053910;;0;Ling (Molva molva) e zarbo (Brosme brosme);31.45;37.15;
03053990;;0;Outros;31.45;37.15;
03054100;;0;--Salmões-do-pacífico (Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou e Oncorhynchus rhodurus), salmão-do-atlântico (Salmo salar) e salmão-do-danúbio (Hucho hucho);34.12;39.82;
03054200;;0;--Arenques (Clupea harengus, Clupea pallasii);34.12;39.82;
03054300;;0;--Trutas (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache e Oncorhynchus chrysogaster);31.45;37.15;
03054400;;0;--Tilápias (Oreochromis spp.), bagres (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.), carpas (Cyprinus carpio, Carassius carassius, Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus), enguias (Anguilla;31.45;37.15;
03054910;;0;Bacalhau-do-atlântico (Gadus mohrua), bacalhau-da-groelândia (Gadus ogac) e bacalhau-do-pacífico (Gadus macrocephalus);34.12;34.72;
03054920;;0;Saithe (Pollachius virens), ling (Molva molva) e zarbo (Brosme brosme);31.45;37.15;
03054990;;0;Outros;31.45;37.15;
03055100;;0;--Bacalhau-do-atlântico (Gadus mohrua), bacalhau-da-groelândia (Gadus ogac) e bacalhau-do-pacífico (Gadus macrocephalus);34.12;34.72;
03055910;;0;Das espécies citadas na Nota Complementar 1 deste Capítulo;34.12;34.72;
03055990;;0;Outros;34.12;39.82;
03056100;;0;--Arenques (Clupea harengus, Clupea pallasii);34.12;39.82;
03056200;;0;--Bacalhau-do-atlântico (Gadus mohrua), bacalhau-da-groelândia (Gadus ogac) e bacalhau-do-pacífico (Gadus macrocephalus);34.12;34.72;
03056300;;0;--Anchovas (Engraulis spp.);31.45;37.15;
